"","x"
"1",0
"2",-0.000325107183155887
"3",-0.00382316276585454
"4",-0.00535379479768872
"5",-0.00629490876302299
"6",-0.00790619761459542
"7",-0.00610972061739065
"8",-0.000576436327463052
"9",0.00376133955329505
"10",0.00525974309184784
"11",0.0033450451985574
"12",-0.00101502230571969
"13",-0.00173661478877215
"14",0.0012401616979958
"15",0.00931039378501992
"16",0.0165576470468655
"17",0.0241674151897554
"18",0.0316604215024857
"19",0.0374355170298857
"20",0.0406609358683451
"21",0.0378753876347936
"22",0.0272029015881064
"23",0.0112279313273995
"24",-0.00500637646674195
"25",-0.0241665234503676
"26",-0.0408996463369741
"27",-0.0585684737629031
"28",-0.0789797275514647
"29",-0.0980395287143436
"30",-0.114557389277466
"31",-0.129153338398193
"32",-0.142119339501256
"33",-0.15238806200436
"34",-0.16200682398139
"35",-0.170126423157897
"36",-0.179612977038814
"37",-0.188137898078478
"38",-0.196299091345714
"39",-0.205829281926709
"40",-0.217628273871678
"41",-0.231286141292564
"42",-0.246171624452286
"43",-0.263615895454784
"44",-0.282985935971976
"45",-0.297021139616325
"46",-0.307327013804759
"47",-0.311575025283359
"48",-0.309481053446267
"49",-0.302180572014881
"50",-0.293518591672301
"51",-0.287047819629581
"52",-0.281559576648377
"53",-0.276342109815815
"54",-0.269530586531531
"55",-0.266316062555806
"56",-0.266602720838797
"57",-0.274200947285133
"58",-0.282248196755872
"59",-0.291545061544404
"60",-0.305213113216612
"61",-0.320570629110841
"62",-0.333405557531766
"63",-0.341419933812744
"64",-0.349547483334051
"65",-0.361043576961472
"66",-0.373176570829871
"67",-0.38288616335535
"68",-0.386701437672516
"69",-0.390513118230284
"70",-0.397001599845672
"71",-0.401792529663492
"72",-0.398382846202591
"73",-0.393737980377184
"74",-0.393367171906577
"75",-0.393503577580615
"76",-0.389126264244068
"77",-0.385621556512662
"78",-0.381874548066953
"79",-0.380103777636704
"80",-0.378498799737329
"81",-0.375765207582119
"82",-0.372589687464161
